,title,abstract,affiliations,authors,journal,date,keywords,url
0,Precision Medicine Approaches with Metabolomics and Artificial Intelligence,"Recent technological innovations in the field of mass spectrometry have supported the use of metabolomics analysis for precision medicine. This growth has been allowed also by the application of algorithms to data analysis, including multivariate and machine learning methods, which are fundamental to managing large number of variables and samples. In the present review, we reported and discussed the application of artificial intelligence (AI) strategies for metabolomics data analysis. Particularly, we focused on widely used non-linear machine learning classifiers, such as ANN, random forest, and support vector machine (SVM) algorithms. A discussion of recent studies and research focused on disease classification, biomarker identification and early diagnosis is presented. Challenges in the implementation of metabolomics-AI systems, limitations thereof and recent tools were also discussed.","['1 Department of Translational Medicine, University of Piemonte Orientale, 28100 Novara, Italy.', '2 Center for Translational Research on Autoimmune and Allergic Diseases, University of Piemonte Orientale, 28100 Novara, Italy.', '3 Department of Pharmaceutical Sciences, University of Piemonte Orientale, 28100 Novara, Italy.', '4 Humanitas Clinical and Research Center, IRCCS, 20089 Rozzano, Italy.', '5 Metabolic Signaling Group, Curtin Medical School, Curtin University, Perth 6845, Australia.', '6 Department of Sciences and Technological Innovation, University of Piemonte Orientale, 15100 Alessandria, Italy.', '7 NovaMechanics Ltd., Digeni Akrita 51, Nicosia 1070, Cyprus.']","Elettra Barberis, Shahzaib Khoso, Antonio Sica, Marco Falasca, Alessandra Gennari, Francesco Dondero, Antreas Afantitis, Marcello Manfredi, ",International journal of molecular sciences,2022,artificial intelligence; biomarkers; machine learning; metabolomics; precision medicine.,https://pubmed.ncbi.nlm.nih.gov/36232571
1,Advancing Biosensors with Machine Learning,"Chemometrics play a critical role in biosensors-based detection, analysis, and diagnosis. Nowadays, as a branch of artificial intelligence (AI), machine learning (ML) have achieved impressive advances. However, novel advanced ML methods, especially deep learning, which is famous for image analysis, facial recognition, and speech recognition, has remained relatively elusive to the biosensor community. Herein, how ML can be beneficial to biosensors is systematically discussed. The advantages and drawbacks of most popular ML algorithms are summarized on the basis of sensing data analysis. Specially, deep learning methods such as convolutional neural network (CNN) and recurrent neural network (RNN) are emphasized. Diverse ML-assisted electrochemical biosensors, wearable electronics, SERS and other spectra-based biosensors, fluorescence biosensors and colorimetric biosensors are comprehensively discussed. Furthermore, biosensor networks and multibiosensor data fusion are introduced. This review will nicely bridge ML with biosensors, and greatly expand chemometrics for detection, analysis, and diagnosis.","['1 Department of Chemical Engineering, Worcester Polytechnic Institute, 100 Institute Road, Worcester, Massachusetts 01609, United States.', '2 Department of Electrical & Computer Engineering, Worcester Polytechnic Institute, Worcester, Massachusetts 01609, United States.', '3 Department of Biomedical Engineering, University of Connecticut, Storrs, Connecticut 06269, United States.']","Feiyun Cui, Yun Yue, Yi Zhang, Ziming Zhang, H Susan Zhou, ",ACS sensors,2020,CNN; SERS; artificial intelligence (AI); chemometrics; deep learning; intelligent biosensor; machine learning (ML); multidimensional features; sensing data; wearable electronics.,https://pubmed.ncbi.nlm.nih.gov/33185417
2,Editorial: Machine learning and deep learning applications in pathogenic microbiome research,NO_ABSTRACT,"['1 Department of Cardiology, State Key Laboratory of Cardiovascular Disease, Fuwai Hospital, Chinese Academy of Medical Sciences & Peking Union Medical College/National Center for Cardiovascular Diseases, Beijing, China.', '2 Department of Computer Science, College of Natural Sciences, The University of Texas at Austin, Austin, TX, United States.', '3 College of Veterinary Medicine, Sichuan Agricultural University, Chengdu, China.', '4 State Key Laboratory of Molecular Vaccinology and Molecular Diagnostics & Center for Molecular Imaging and Translational Medicine, School of Public Health, Xiamen University, Xiamen, China.']","An-Tian Chen, Xinyan Wu, Gang Ye, Wenle Li, ",Frontiers in cellular and infection microbiology,2024,application; gut microbiota; machine learning; pathogenic microbiome; predictive model.,https://pubmed.ncbi.nlm.nih.gov/38966252
3,"Artificial Intelligence, Machine Learning, and Deep Learning in Real-Life Drug Design Cases","The discovery and development of drugs is a long and expensive process with a high attrition rate. Computational drug discovery contributes to ligand discovery and optimization, by using models that describe the properties of ligands and their interactions with biological targets. In recent years, artificial intelligence (AI) has made remarkable modeling progress, driven by new algorithms and by the increase in computing power and storage capacities, which allow the processing of large amounts of data in a short time. This review provides the current state of the art of AI methods applied to drug discovery, with a focus on structure- and ligand-based virtual screening, library design and high-throughput analysis, drug repurposing and drug sensitivity, de novo design, chemical reactions and synthetic accessibility, ADMET, and quantum mechanics.","['1 Evotec (France) SAS, Computational Drug Discovery, Integrated Drug Discovery, Toulouse, France.', '2 Evotec (France) SAS, Computational Drug Discovery, Integrated Drug Discovery, Toulouse, France. Constantino.Diaz@evotec.com.']","Christophe Muller, Obdulia Rabal, Constantino Diaz Gonzalez, ","Methods in molecular biology (Clifton, N.J.)",NO_DATE,ADMET; Artificial intelligence; De novo design; Deep learning; Drug design; Drug discovery; Drug repurposing; Drug sensitivity; HTS; Library design; Ligand-based virtual screening; Machine learning; QSAR; Quantum mechanics; Structure-based virtual screening; Synthesis planning.,https://pubmed.ncbi.nlm.nih.gov/34731478
4,Applications of Deep Learning in Endocrine Neoplasms,"Machine learning methods have been growing in prominence across all areas of medicine. In pathology, recent advances in deep learning (DL) have enabled computational analysis of histological samples, aiding in diagnosis and characterization in multiple disease areas. In cancer, and particularly endocrine cancer, DL approaches have been shown to be useful in tasks ranging from tumor grading to gene expression prediction. This review summarizes the current state of DL research in endocrine cancer histopathology with an emphasis on experimental design, significant findings, and key limitations.","['1 Department of Medicine, Section of Hematology/Oncology, University of Chicago Medical Center, 5841 South Maryland Avenue, MC 2115, Chicago, IL 60637, USA; The University of Chicago Medicine & Biological Sciences, 5841 South Maryland Avenue, Chicago, IL, USA.', '2 Department of Medicine, Section of Hematology/Oncology, University of Chicago Medical Center, 5841 South Maryland Avenue, MC 2115, Chicago, IL 60637, USA; University of Chicago Comprehensive Cancer Center, Chicago, IL, USA; The University of Chicago Medicine & Biological Sciences, 5841 South Maryland Avenue, Chicago, IL, USA. Electronic address: apearson5@medicine.bsd.uchicago.edu.']","Siddhi Ramesh, James M Dolezal, Alexander T Pearson, ",Surgical pathology clinics,NO_DATE,Deep learning; Endocrine neoplasia; Histology; Machine learning; Pathology.,https://pubmed.ncbi.nlm.nih.gov/36739164
5,"Artificial intelligence, machine learning, and deep learning in orthopedic surgery",NO_ABSTRACT,"['1 Turkish Joint Diseases Foundation, Mustafa Kemal Mah., Dumlupınar Bul., 274/2, C2 Blok, Ofis 5, 06900 Çankaya, Ankara, Türkiye. satikmd@gmail.com.']","O Şahap Atik, ",Joint diseases and related surgery,NO_DATE,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/35852212
6,Can machine learning predict cardiac risk using mammography?,NO_ABSTRACT,"['1 North East of Scotland Breast Screening Program, Foresterhill Road, Aberdeen, UK.', '2 MRC Laboratory of Medical Sciences, Imperial College London, Du Cane Road, London, W12 0HS, UK.']","Gerald Lip, Declan P O'Regan, ",European heart journal. Cardiovascular Imaging,2024,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/38262145
7,The use of machine learning in rare diseases: a scoping review,"Background:
        
      
      Emerging machine learning technologies are beginning to transform medicine and healthcare and could also improve the diagnosis and treatment of rare diseases. Currently, there are no systematic reviews that investigate, from a general perspective, how machine learning is used in a rare disease context. This scoping review aims to address this gap and explores the use of machine learning in rare diseases, investigating, for example, in which rare diseases machine learning is applied, which types of algorithms and input data are used or which medical applications (e.g., diagnosis, prognosis or treatment) are studied. Methods:
        
      
      Using a complex search string including generic search terms and 381 individual disease names, studies from the past 10 years (2010-2019) that applied machine learning in a rare disease context were identified on PubMed. To systematically map the research activity, eligible studies were categorized along different dimensions (e.g., rare disease group, type of algorithm, input data), and the number of studies within these categories was analyzed. Results:
        
      
      Two hundred eleven studies from 32 countries investigating 74 different rare diseases were identified. Diseases with a higher prevalence appeared more often in the studies than diseases with a lower prevalence. Moreover, some rare disease groups were investigated more frequently than to be expected (e.g., rare neurologic diseases and rare systemic or rheumatologic diseases), others less frequently (e.g., rare inborn errors of metabolism and rare skin diseases). Ensemble methods (36.0%), support vector machines (32.2%) and artificial neural networks (31.8%) were the algorithms most commonly applied in the studies. Only a small proportion of studies evaluated their algorithms on an external data set (11.8%) or against a human expert (2.4%). As input data, images (32.2%), demographic data (27.0%) and ""omics"" data (26.5%) were used most frequently. Most studies used machine learning for diagnosis (40.8%) or prognosis (38.4%) whereas studies aiming to improve treatment were relatively scarce (4.7%). Patient numbers in the studies were small, typically ranging from 20 to 99 (35.5%). Conclusion:
        
      
      Our review provides an overview of the use of machine learning in rare diseases. Mapping the current research activity, it can guide future work and help to facilitate the successful application of machine learning in rare diseases.","['1 Technische Universität Berlin, Berlin, Germany.', '2 Berlin Institute of Health (BIH), Berlin, Germany.', '3 Berlin Institute of Health (BIH), Berlin, Germany. moritz.lehne@bihealth.de.', '4 Charité - Universitätsmedizin Berlin, Berlin, Germany.', '5 Hochschule Niederrhein - University of Applied Sciences, Krefeld, Germany.']","Julia Schaefer, Moritz Lehne, Josef Schepers, Fabian Prasser, Sylvia Thun, ",Orphanet journal of rare diseases,2020,Machine learning; Rare diseases; Scoping review.,https://pubmed.ncbi.nlm.nih.gov/32517778
8,What machine learning can do for developmental biology,"Developmental biology has grown into a data intensive science with the development of high-throughput imaging and multi-omics approaches. Machine learning is a versatile set of techniques that can help make sense of these large datasets with minimal human intervention, through tasks such as image segmentation, super-resolution microscopy and cell clustering. In this Spotlight, I introduce the key concepts, advantages and limitations of machine learning, and discuss how these methods are being applied to problems in developmental biology. Specifically, I focus on how machine learning is improving microscopy and single-cell 'omics' techniques and data analysis. Finally, I provide an outlook for the futures of these fields and suggest ways to foster new interdisciplinary developments.","['1 LIS (UMR 7020), IBDM (UMR 7288), Turing Center For Living Systems, Aix-Marseille University, 13009, Marseille, France paul.villoutreix@univ-amu.fr.']","Paul Villoutreix, ","Development (Cambridge, England)",2021,Artificial intelligence; Big data; Machine learning; Neural networks.,https://pubmed.ncbi.nlm.nih.gov/33431591
9,Do You See What I See? Automated IFE Interpretation Using Machine Learning,NO_ABSTRACT,"['1 Department of Pathology and Laboratory Medicine, Childrens Hospital of Philadelphia, Philadelphia, PA, United States.', '2 Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, United States.', '3 Ann Robert H. Lurie Childrens Hospital of Chicago, Chicago, IL, United States.', '4 Department of Pathology, Northwestern University Feinberg School of Medicine, Chicago, IL, United States.']","Stephen R Master, Shannon Haymond, ",Clinical chemistry,2023,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/36576347
